,Compound Score,Negative Score,Neutral Score,News_organization,Positive Score,Tweets Ago
49,0.0,0.0,1.0,Fox,0.0,50
50,0.4404,0.0,0.873,Fox,0.127,51
51,-0.1779,0.15,0.73,Fox,0.12,52
52,-0.6597,0.248,0.606,Fox,0.145,53
53,0.8398,0.0,0.654,Fox,0.346,54
54,0.0,0.0,1.0,Fox,0.0,55
55,0.0,0.0,1.0,Fox,0.0,56
56,0.7644,0.0,0.515,Fox,0.485,57
57,0.7702,0.0,0.718,Fox,0.282,58
58,0.0,0.0,1.0,Fox,0.0,59
59,0.4199,0.0,0.715,Fox,0.285,60
60,0.4926,0.064,0.773,Fox,0.163,61
61,0.5187,0.072,0.721,Fox,0.206,62
62,0.4215,0.0,0.843,Fox,0.157,63
63,-0.25,0.246,0.551,Fox,0.203,64
64,-0.296,0.423,0.577,Fox,0.0,65
65,0.0,0.0,1.0,Fox,0.0,66
66,0.5574,0.0,0.581,Fox,0.419,67
67,0.4199,0.0,0.642,Fox,0.358,68
68,-0.4019,0.119,0.881,Fox,0.0,69
69,0.6924,0.0,0.778,Fox,0.222,70
70,0.0,0.0,1.0,Fox,0.0,71
71,0.4926,0.0,0.868,Fox,0.132,72
72,-0.0516,0.441,0.147,Fox,0.412,73
73,0.784,0.0,0.504,Fox,0.496,74
74,0.6249,0.0,0.37,Fox,0.63,75
75,0.4738,0.0,0.493,Fox,0.507,76
76,0.0,0.0,1.0,Fox,0.0,77
77,0.8718,0.0,0.288,Fox,0.712,78
78,0.3612,0.0,0.737,Fox,0.263,79
79,0.6588,0.0,0.357,Fox,0.643,80
80,0.2942,0.17,0.532,Fox,0.297,81
81,-0.2075,0.155,0.773,Fox,0.072,82
82,0.6249,0.0,0.37,Fox,0.63,83
83,0.6588,0.0,0.671,Fox,0.329,84
84,0.0,0.0,1.0,Fox,0.0,85
85,0.5574,0.0,0.813,Fox,0.187,86
86,-0.7096,0.371,0.629,Fox,0.0,87
87,0.5106,0.0,0.837,Fox,0.163,88
88,0.0,0.0,1.0,Fox,0.0,89
89,-0.4576,0.15,0.85,Fox,0.0,90
90,-0.25,0.1,0.9,Fox,0.0,91
91,0.555,0.0,0.807,Fox,0.193,92
92,0.0772,0.0,0.933,Fox,0.067,93
93,0.5499,0.305,0.364,Fox,0.33,94
94,0.0,0.0,1.0,Fox,0.0,95
95,0.6476,0.0,0.791,Fox,0.209,96
96,0.0,0.0,1.0,Fox,0.0,97
97,0.8126,0.0,0.637,Fox,0.363,98
98,-0.2755,0.1,0.9,Fox,0.0,99
99,0.3818,0.0,0.865,Fox,0.135,100
0,-0.8126,0.402,0.598,New York times,0.0,1
1,-0.6633,0.198,0.802,New York times,0.0,2
2,-0.6633,0.198,0.802,New York times,0.0,3
3,0.0387,0.0,0.95,New York times,0.05,4
4,-0.7125,0.238,0.762,New York times,0.0,5
5,0.0,0.0,1.0,New York times,0.0,6
6,-0.2808,0.226,0.588,New York times,0.187,7
7,-0.8192,0.379,0.621,New York times,0.0,8
8,-0.4084,0.192,0.692,New York times,0.117,9
9,-0.0085,0.165,0.634,New York times,0.201,10
10,-0.5051,0.162,0.838,New York times,0.0,11
11,-0.824,0.307,0.606,New York times,0.087,12
12,-0.6249,0.212,0.788,New York times,0.0,13
13,-0.5766,0.221,0.687,New York times,0.093,14
14,-0.5622,0.169,0.762,New York times,0.069,15
15,-0.4084,0.244,0.607,New York times,0.149,16
16,-0.6633,0.228,0.772,New York times,0.0,17
17,0.6124,0.0,0.762,New York times,0.238,18
